domain,final_verdict,confidence,note
landscape.directory,KEEP,High,Real US landscaping directory with Tennessee section; on-topic
addresspage.com,MONITOR,Med,Functioning local business directory; low-quality but not spam
swipenow.com,KEEP,Med,Genuine Oregon credit-card processor since 1998
contractorsjunction.com,KEEP,High,Real nationwide contractor/home-services directory; relevant vertical
findlocalcenter.com,TOXIC,High,PBN cluster 69.13.185; generic directory
webranksite.com,TOXIC,High,SEO/rank link-scheme name
m98ufa.com,TOXIC,High,Gambling vertical
worldlinksites.com,TOXIC,High,Generic link-scheme name
onlinearticlesdirectories.com,TOXIC,High,PBN cluster; article-directory spam
civiltej.com,TOXIC,Med,Low-authority, no legit signal
wecelebrities.com,TOXIC,Med,Generic celebrity content, low authority
247directory.org,TOXIC,High,PBN cluster; directory spam; foreign
ackoona.org,TOXIC,High,PBN cluster 64.182
anewdirectory.org,TOXIC,High,PBN cluster; directory spam
articlesplacesonline.com,TOXIC,High,PBN cluster; article-directory spam; foreign
bestbizofweb.com,TOXIC,High,PBN cluster 64.182
biztrophy.org,TOXIC,High,PBN cluster 64.182
bsocialtoday.com,TOXIC,High,PBN cluster 64.182
businessresource.co,TOXIC,High,PBN cluster 64.182
contentfreelance.org,TOXIC,High,PBN cluster; foreign
dirbull.org,TOXIC,High,PBN cluster 64.182
directorymart.net,TOXIC,High,PBN cluster; directory spam
directoryselected.com,TOXIC,High,PBN cluster; directory spam; foreign
dynamiclist.net,TOXIC,High,PBN cluster 69.13
elitesites.co,TOXIC,High,PBN cluster 64.182
fashionclothingnews.com,TOXIC,Med,Generic off-topic content, low authority
findingu.org,TOXIC,High,PBN cluster 64.182
getbusinessedge.com,TOXIC,High,PBN cluster 69.13
gimpsy.biz,TOXIC,High,PBN cluster 64.182
gotozip.org,TOXIC,High,PBN cluster 69.13
hotpages.co,TOXIC,High,PBN cluster; foreign
ivcfddhbsa.blogspot.com,TOXIC,High,Randomized nonsense hostname
listinger.net,TOXIC,High,PBN cluster; directory spam
listingsspot.com,TOXIC,High,PBN cluster; directory spam
localbizsphere.com,TOXIC,Med,Generic directory name, low authority
localpagesdirectory.com,TOXIC,High,PBN cluster; directory spam
lookupdata.org,TOXIC,High,PBN cluster 69.13
masihnyata.com,TOXIC,Med,Foreign generic content, low authority
notzia.com,TOXIC,High,PBN cluster 69.13
onlinelocalbrand.com,TOXIC,Med,Generic name, no legit signal
plurio.shop,TOXIC,Med,Spam TLD, low authority
probusinessworld.com,TOXIC,High,PBN cluster 64.182
realtalkaj.me,TOXIC,Med,Personal blog, irrelevant, low authority
scrubthenet.co,TOXIC,High,PBN cluster 64.182
seohitz.net,TOXIC,High,PBN cluster; SEO link-scheme name
siteselect.org,TOXIC,High,PBN cluster 64.182
smashlistings.com,TOXIC,High,PBN cluster; directory spam
spotjournal.info,TOXIC,High,PBN cluster; foreign
storebusinesslistings.com,TOXIC,High,PBN cluster; directory spam; foreign
superlistingz.com,TOXIC,High,PBN cluster; directory spam; foreign
thelistingcloud.net,TOXIC,High,PBN cluster; directory spam
topawardedsites.com,TOXIC,High,PBN cluster 64.182
true-listings.com,TOXIC,High,PBN cluster; directory spam
ultimatesites.net,TOXIC,High,PBN cluster 64.182
webeditori.com,TOXIC,High,PBN cluster 64.182
websiteleads.biz,TOXIC,High,PBN cluster; foreign
ziplocale.com,TOXIC,High,PBN cluster 64.182
viral-status.com,TOXIC,Med,Generic viral content, irrelevant
acebusinessdir.com,TOXIC,High,PBN cluster; directory spam
directoryst.com,TOXIC,High,PBN cluster; directory spam; foreign
softranks.com,TOXIC,High,SEO/rank link-scheme name
ready.pro,TOXIC,High,PBN cluster; foreign; spam TLD
1800directory.net,TOXIC,High,PBN cluster; directory spam
addbiz.org,TOXIC,High,PBN cluster 64.182
articles-reference.com,TOXIC,High,PBN cluster; article-directory spam
bazoomble.com,TOXIC,High,PBN cluster 69.13
bestnichedirectory.com,TOXIC,High,PBN cluster; directory spam
bitsywebs.com,TOXIC,High,PBN cluster 69.13
blegg.biz,TOXIC,High,PBN cluster 64.182
business360now.com,TOXIC,High,PBN cluster 64.182
businesswebdirectory.us,TOXIC,High,PBN cluster; directory spam
clicknmark.com,TOXIC,High,PBN cluster 64.182
dazoodle.net,TOXIC,High,PBN cluster 64.182
directorybox.net,TOXIC,High,PBN cluster; directory spam
directorypro.net,TOXIC,High,PBN cluster; directory spam
ebizlistings.com,TOXIC,High,PBN cluster; directory spam
excellentsites.co,TOXIC,High,PBN cluster 64.182
fixx.co,TOXIC,High,PBN cluster 64.182
gotodirectory.org,TOXIC,High,PBN cluster; directory spam
greensites.biz,TOXIC,High,PBN cluster 69.13
hotsearchengine.org,TOXIC,High,PBN cluster; foreign
hubofbusinesses.com,TOXIC,High,PBN cluster 69.13
impact-directory.com,TOXIC,High,PBN cluster; directory spam
koolweblinx.com,TOXIC,High,PBN cluster; directory spam
linksgiving.net,TOXIC,High,PBN cluster 64.182
listingssearch.org,TOXIC,High,PBN cluster; directory spam
localizespace.com,TOXIC,High,PBN cluster; foreign
mandex.biz,TOXIC,High,PBN cluster 64.182
newsblogsports.site,TOXIC,Med,Generic content, spam TLD, low authority
onlybusinesses.net,TOXIC,High,PBN cluster 69.13
polardirectory.com,TOXIC,High,PBN cluster; directory spam; foreign
premiuminc.org,TOXIC,High,PBN cluster 69.13
rankupdirectory.com,TOXIC,High,PBN cluster; directory spam
searchbrand.org,TOXIC,High,PBN cluster; foreign
seol.store,TOXIC,High,SEO link-scheme name; spam TLD
sparkelzdirectory.com,TOXIC,High,PBN cluster; directory spam
submitza.net,TOXIC,High,PBN cluster 69.13
takeonlistings.com,TOXIC,High,PBN cluster; directory spam
thegreatweb.net,TOXIC,High,PBN cluster; foreign
thezoomdirectory.com,TOXIC,High,PBN cluster; directory spam
toplistings.info,TOXIC,High,PBN cluster; directory spam
ultradir.biz,TOXIC,High,PBN cluster; directory spam
web2directory.org,TOXIC,High,PBN cluster; directory spam
weblegends.net,TOXIC,High,PBN cluster 64.182
webxplore.net,TOXIC,High,PBN cluster 64.182
woorivo.com,TOXIC,High,PBN cluster 64.182
yourbusinessarchive.com,TOXIC,High,PBN cluster 64.182
zensites.org,TOXIC,High,PBN cluster 69.13
domraider.eu.com,TOXIC,Med,Domain-related, zero authority, no relevance
superpagesdirectory.com,TOXIC,High,PBN cluster; directory spam
isardomains.com,TOXIC,Med,Domain sales, shared IP, no relevance
articlebay.us,TOXIC,High,PBN cluster; article-directory spam; foreign
bizfair.co,TOXIC,High,PBN cluster 64.182
blinks.monster,TOXIC,High,Spam TLD, link-shortener spam
businesseshq.co,TOXIC,High,PBN cluster; foreign
cmocheatsheets.com,TOXIC,Med,Shared-IP cluster, off-topic, low authority
directorycool.com,TOXIC,High,PBN cluster; directory spam; foreign
editorspick.co,TOXIC,High,PBN cluster 69.13
hotdirectory.co.uk,TOXIC,High,PBN cluster; directory spam
infodirectory.biz,TOXIC,High,PBN cluster; directory spam
linkjuicedirectory.org,TOXIC,High,PBN cluster; SEO directory spam
localcompanydata.com,TOXIC,High,PBN cluster; foreign
moresites.net,TOXIC,High,PBN cluster 64.182
plumeriamarketing.com,MONITOR,Med,Real US marketing consultancy but shared-IP cluster
rankvanceauthority.info,TOXIC,High,SEO/rank link-scheme name
shizzle.biz,TOXIC,High,PBN cluster 64.182
superbarticles.org,TOXIC,High,PBN cluster; article spam; foreign
toprankedbiz.com,TOXIC,High,PBN cluster 64.182
webfriendly.us,TOXIC,High,PBN cluster 64.182
webshutl.com,TOXIC,High,PBN cluster 64.182
yippee.co,TOXIC,High,PBN cluster 64.182
webhubsites.com,TOXIC,High,Generic sites-name, shared-IP cluster
bestnz-poker-casinoslot.com,TOXIC,High,Gambling vertical
nivira.shop,TOXIC,High,Spam TLD, shared-IP cluster
backlinksbank.com,TOXIC,High,PBN cluster; buy-backlinks scheme; foreign
daily-hacks.pages.dev,TOXIC,High,Throwaway pages.dev host, farm cluster
2x9.co,TOXIC,High,PBN cluster; foreign
domain.com.lc,TOXIC,High,PBN cluster; spam TLD; foreign
pagesearch.net,TOXIC,High,PBN cluster 118.139; foreign
bye.fyi,TOXIC,High,PBN cluster 195.20.19; link-shortener; foreign
buzzshrink.website,TOXIC,High,PBN cluster; link-shortener; foreign
quero.party,TOXIC,High,PBN cluster; spam TLD; foreign
adzbusiness.com,TOXIC,High,Large PBN cluster 159.198.75
linkanews.com,TOXIC,High,Large PBN cluster 159.198.75
rankerdirectory.com,TOXIC,High,PBN cluster; SEO directory spam
seohubdirectory.com,TOXIC,High,PBN cluster; SEO directory spam
cheapsmmprovider.info,TOXIC,High,PBN cluster; SMM/buy-links scheme; foreign
linksnatcher.art,TOXIC,High,PBN cluster; link scheme; foreign
taxies.biz,TOXIC,High,Large PBN cluster 118.139.181; foreign
uaewebdirectory.info,TOXIC,High,PBN cluster; directory spam; foreign
domainwork.space,TOXIC,High,PBN cluster; spam TLD; foreign
