domain,final_verdict,confidence,note
dreamchaserhub.com,MONITOR,Low,real content blog; possible content mill
semalt.ai,TOXIC,High,known SEO/referral spam operation
gorentals.com.pa,MONITOR,Low,possibly real Panama car rental
5starlocalcenter.com,TOXIC,High,pbn ip cluster 64.182.130
jobsapp.info,TOXIC,Med,generic jobs directory low authority
aloysionunes.com,TOXIC,Med,foreign personal site irrelevant
makerslistings.com,TOXIC,High,directory spam name
7minutos.es,TOXIC,Med,foreign site no relevance
slapshady.com,TOXIC,Med,generic unknown no relevance
directorylinkservice.com,TOXIC,High,directory link spam pbn cluster
writfy.com,TOXIC,High,crypto/SEO article content farm
7starweb.co.uk,TOXIC,High,pbn ip cluster 64.182.88
addmysitez.com,TOXIC,High,directory spam pbn cluster
answersmeta.com,TOXIC,Med,generic Q&A low authority
articlevelley.com,TOXIC,High,article spam pbn foreign
bestbusinessselect.com,TOXIC,High,pbn ip cluster 69.13.53
blc-eu.com,TOXIC,Med,foreign generic no relevance
busineessupdir.com,TOXIC,High,misspelled directory pbn cluster
citylocalhub.com,TOXIC,High,directory pbn cluster
coolbusiness.co,TOXIC,High,pbn ip cluster 64.182.60
directbusinesslistings.com,TOXIC,High,directory spam pbn foreign
directorymatix.org,TOXIC,High,directory spam pbn cluster
directoryservice.co,TOXIC,High,directory spam pbn cluster
earticlesweb.com,TOXIC,High,article spam pbn cluster
energeticonline.com,TOXIC,High,pbn ip cluster 69.13.51
fastlifesite.com,TOXIC,Med,generic low authority
findist.net,TOXIC,High,pbn ip cluster 69.13.58
getdirectory.org,TOXIC,High,directory spam pbn cluster
globalweb.co,TOXIC,High,pbn ip cluster 64.182.59
greatestbusinesslistings.com,TOXIC,High,directory spam pbn foreign
hubsite.biz,TOXIC,High,pbn ip cluster 69.13.182
kitabibrothers.com,TOXIC,Med,foreign irrelevant low authority
listinghub.org,TOXIC,High,directory spam pbn cluster
listingzclub.com,TOXIC,High,directory spam pbn foreign
localbizzz.com,TOXIC,Med,generic directory low authority
localpulsedirectory.com,TOXIC,High,directory spam name
lookuplists.com,TOXIC,High,pbn ip cluster 69.13.107
mooli.us,TOXIC,High,pbn ip cluster 69.13.230
nukewebdirectory.com,TOXIC,High,directory spam pbn cluster
onlinewebsitecenter.com,TOXIC,High,pbn ip cluster 69.13.115
populardirectory.co,TOXIC,High,directory spam pbn cluster
prolocalbusinesssearch.com,TOXIC,High,pbn ip cluster 69.13.187
recommendit.biz,TOXIC,High,pbn ip cluster 64.182.158
searchengineschoice.com,TOXIC,High,pbn ip cluster 64.182.191
sezza.org,TOXIC,High,pbn ip cluster 64.182.195
smallbizdir.com,TOXIC,High,directory spam pbn cluster
smoothdirectory.com,TOXIC,High,directory spam pbn foreign
spotseek.org,TOXIC,High,pbn cluster foreign
studartcorrea.com.br,TOXIC,Med,real firm but spam-injected pages
takes.sbs,TOXIC,High,spam tld throwaway host
themicrodigits.com,TOXIC,Med,generic brand-new low authority
topbusinesses.info,TOXIC,High,pbn ip cluster 64.182.89
truebizdirectory.com,TOXIC,High,directory spam name
urbanbizlistings.com,TOXIC,High,directory spam name
webestate.co,TOXIC,High,pbn ip cluster 64.182.235
werecommend.us,TOXIC,High,pbn ip cluster 64.182.240
blog-forest.help,TOXIC,High,spam tld zero authority
ejobscircular.com,MONITOR,Med,real Bangladesh job portal foreign
starcourts.com,TOXIC,Med,threat-intel flagged no real site
editorlistings.com,TOXIC,High,directory spam pbn cluster
worldwideranks.com,TOXIC,High,seo link scheme name
updatejakarta.com,MONITOR,Med,real Indonesian news portal foreign
1888webdirectory.com,TOXIC,High,directory spam pbn cluster
alphabiz.info,TOXIC,High,pbn ip cluster 64.182.6
articles4all.org,TOXIC,High,article spam pbn foreign
beezlistings.com,TOXIC,High,directory spam pbn cluster
bestprodirectory.com,TOXIC,High,directory spam pbn cluster
bizbooknow.com,TOXIC,High,pbn cluster foreign
boblistings.org,TOXIC,High,directory spam pbn cluster
businesseshub.org,TOXIC,High,pbn cluster foreign
busybiz.co,TOXIC,High,pbn ip cluster 69.13.38
cooldirweb.com,TOXIC,High,pbn ip cluster 64.182.131
digitallongevity.com,TOXIC,High,pbn cluster foreign
directoryfind.info,TOXIC,High,directory spam pbn cluster
directoryscape.net,TOXIC,High,directory spam pbn cluster
editorschoice.co,TOXIC,High,pbn ip cluster 64.182.55
ezeelisting.org,TOXIC,High,directory spam pbn cluster
getbestspots.com,TOXIC,High,pbn ip cluster 64.182.70
gotohub.net,TOXIC,High,pbn ip cluster 64.182.82
hahadirectory.com,TOXIC,High,directory spam pbn cluster
hoturls.org,TOXIC,High,pbn ip cluster 64.182.107
huddledir.com,TOXIC,High,pbn ip cluster 64.182.93
incrawler.net,TOXIC,High,pbn ip cluster 64.182.95
krivetyspace.com,TOXIC,High,pbn ip cluster 69.13.79
list2rank.com,TOXIC,High,seo rank scheme pbn cluster
listingsweb.org,TOXIC,High,directory spam pbn foreign
localjournal.org,TOXIC,High,pbn cluster foreign
maxwebsites.org,TOXIC,High,pbn ip cluster 64.182.127
nicebusinessdirectory.com,TOXIC,High,directory spam pbn cluster
