domain,final_verdict,confidence,note
vangvela.com,MONITOR,Low,Real Thai spa business; foreign/irrelevant link
resonancelabjo.com,TOXIC,Med,Random nonsense brand name; no presence
thenllc.ca,TOXIC,Low,Generic Canadian shell; no relevance
wealthyoverview.com,TOXIC,Med,Generic finance content on Cloudflare
eurekster.com,KEEP,Med,Recognized social search platform (swicki widget)
usapridenetwork.us,TOXIC,Med,Automotive content farm; name/content mismatch
listingpro.info,TOXIC,High,Directory spam; PBN IP cluster
toplinksdirectory.com,TOXIC,High,Directory/links spam name
medidocs.com,MONITOR,Low,Possibly real healthcare software brand
capetownthing.co.za,TOXIC,Med,Foreign South Africa site; no relevance
wants.cfd,TOXIC,High,Spam TLD; generic
1866directory.com,TOXIC,High,Directory spam; PBN cluster
ackonweb.com,TOXIC,High,PBN IP cluster 64.182
americanbestbiz.com,TOXIC,High,PBN cluster; generic biz
articlespace.org,TOXIC,High,Article spam; PBN cluster
beepdreams.com,TOXIC,Med,Random brand; very low authority
bizopedia.org,TOXIC,High,PBN cluster; generic biz directory
bowlisting.com,TOXIC,High,Listing spam; PBN cluster
businessquest.net,TOXIC,High,PBN cluster; Swedish geo
contentfreelance.com,TOXIC,High,PBN cluster; Swedish geo
digitbusinesslistings.com,TOXIC,High,Directory spam; PBN cluster
directoryhop.com,TOXIC,High,Directory spam; PBN cluster
directorypursuit.com,TOXIC,High,Directory spam; PBN cluster
dynalistings.com,TOXIC,High,Listing spam; PBN cluster
elistingz.net,TOXIC,High,Listing spam; PBN; Swedish
familyfriendlysites.biz,TOXIC,High,PBN cluster; generic
finddirectory.org,TOXIC,High,Directory spam; PBN; Swedish
geobizdirectory.com,TOXIC,High,Directory spam name
ggmap.us.com,TOXIC,Med,Generic us.com subdomain; low authority
gotolistings.org,TOXIC,High,Listing spam; PBN cluster
hotcatalogues.com,TOXIC,High,PBN cluster; catalog spam
inspiredirectory.com,TOXIC,High,Directory spam; Swedish geo
listingcenterpro.com,TOXIC,High,Listing/directory spam; PBN
listingspace.net,TOXIC,High,Listing spam; PBN cluster
localbizselect.com,TOXIC,High,PBN cluster; generic biz
locallistingz.com,TOXIC,High,Listing spam; PBN; Swedish
london-essays.blog,TOXIC,High,Essay-writing high-risk vertical
marketing4all.us,TOXIC,High,PBN cluster; Swedish geo
nextleveldirectory.com,TOXIC,High,Directory spam; PBN; Swedish
onlinecompanypages.com,TOXIC,High,PBN cluster; directory
pingeras.blogspot.com,TOXIC,Med,Spam Blogspot blog
probusinesshub.co,TOXIC,High,PBN cluster; generic biz
reallistings.net,TOXIC,High,Listing spam; PBN cluster
sbmain.com,TOXIC,High,PBN IP cluster 64.182
seofriendlydirectory.in,TOXIC,High,SEO/directory scheme name
simplybestbiz.com,TOXIC,High,PBN cluster; generic biz
smartmarketer.today,TOXIC,High,PBN cluster; Swedish geo
sportsbikeparts.pk,TOXIC,Med,Pakistan site; no relevance
staticdirectory.com,TOXIC,High,Directory spam; PBN cluster
superlistings.org,TOXIC,High,Listing spam; PBN; Swedish
theinfosynth.com,TOXIC,High,PBN IP cluster 64.182
top-businesses.com,TOXIC,High,PBN cluster; generic biz
total-web-directory.com,TOXIC,High,Web directory spam; PBN
ultimatelistzone.com,TOXIC,High,Listing spam name
webdiamonds.us,TOXIC,High,PBN IP cluster 64.182
websearchquest.com,TOXIC,High,PBN IP cluster 64.182
yourarticlehub.com,TOXIC,High,Article spam; PBN cluster
designedbyai.io,KEEP,High,Real AI design SaaS; lawn/landscaping content
websnoop.org,TOXIC,High,PBN IP cluster 69.13
directorycell.com,TOXIC,High,Directory spam name
robuta.com,MONITOR,Med,Real US private search engine
knows.monster,TOXIC,High,Spam TLD; low authority
10googol.org,TOXIC,High,PBN IP cluster 64.182
acedirectorylistings.com,TOXIC,High,Directory spam; PBN; Swedish
articles-center.com,TOXIC,High,Article spam; PBN cluster
backlinklab.pro,TOXIC,High,SEO backlink scheme name
bestlistingz.org,TOXIC,High,Listing spam; PBN; Swedish
biigo.org,TOXIC,High,PBN IP cluster 69.13
blahoo.org,TOXIC,High,PBN IP cluster 64.182
brilliantweb.org,TOXIC,High,PBN IP cluster 69.13
businesswebdirectori.com,TOXIC,High,Directory spam; PBN cluster
clickdir.net,TOXIC,High,Directory spam; PBN cluster
customwebdirectory.com,TOXIC,High,Web directory spam; PBN
directory24x7.org,TOXIC,High,Directory spam; PBN cluster
directorymania.net,TOXIC,High,Directory spam; PBN cluster
earticlessite.com,TOXIC,High,Article spam; PBN cluster
eurekadir.com,TOXIC,High,Directory spam; PBN cluster
fixhubs.net,TOXIC,Med,Generic; very low authority
gosites.biz,TOXIC,High,PBN IP cluster 69.13
greatlistingz.com,TOXIC,High,Listing spam; PBN cluster
hotlistingz.com,TOXIC,High,Listing spam; PBN cluster
hubofarticles.com,TOXIC,High,Article spam; PBN; Swedish
imeebo.net,TOXIC,High,PBN IP cluster 64.182
koolbiz.us,TOXIC,High,PBN IP cluster 69.13
linkopedia.biz,TOXIC,High,PBN IP cluster 64.182
listingshub.org,TOXIC,High,Listing spam; PBN; Swedish
localedgepro.com,TOXIC,High,PBN cluster; Swedish geo
magzine.org,TOXIC,High,PBN IP cluster 64.182
mysmallbiz.net,TOXIC,High,PBN IP cluster 64.182
onlineshoppingidea.com,TOXIC,Med,Generic shopping content; low authority
pierlistclub.com,TOXIC,High,PBN cluster; Swedish geo
premiumfaves.com,TOXIC,High,PBN IP cluster 64.182
radiantdir.com,TOXIC,High,Directory spam; PBN cluster
safewebsitez.com,TOXIC,High,PBN IP cluster 69.13
seoboost.biz,TOXIC,High,SEO link scheme name; PBN
socialdirectionz.com,TOXIC,High,PBN IP cluster 64.182
submitarticlestoday.net,TOXIC,High,Article submission spam; PBN
tacklocal.info,TOXIC,High,PBN IP cluster 64.182
thedirectopia.com,TOXIC,High,Directory spam; PBN cluster
thetopbizclub.com,TOXIC,High,PBN IP cluster 64.182
topincitylocal.com,TOXIC,High,PBN IP cluster 69.13
ultimatesites.info,TOXIC,High,PBN IP cluster 64.182
vibrantbiz.org,TOXIC,High,PBN IP cluster 64.182
webiraa.com,TOXIC,High,PBN IP cluster 69.13
webworldindex.org,TOXIC,High,Directory index spam; PBN
wiredsites.org,TOXIC,High,PBN IP cluster 69.13
yourbizlistings.com,TOXIC,High,Business listing spam name
zenlinks.net,TOXIC,High,Link scheme name; PBN
zynatee.com,TOXIC,High,PBN IP cluster 64.182
popularask.net,MONITOR,Low,Real Q&A content site
booksreadr.org,TOXIC,Med,Aged domain sold for backlinks; PBN IP
amazingbizlistings.com,TOXIC,High,Business listing spam; PBN
bizaloo.net,TOXIC,High,PBN IP cluster 69.13
blimey.us,TOXIC,High,PBN IP cluster 64.182
businessbook.info,TOXIC,High,PBN cluster; Swedish geo
clubexclusivegroup.com,TOXIC,High,PBN IP cluster 69.13
directorial.org,TOXIC,High,Directory spam; PBN cluster
editorspick.biz,TOXIC,High,PBN IP cluster 69.13
gotolinks.net,TOXIC,High,Link scheme name; PBN
incrawler.org,TOXIC,High,PBN IP cluster 64.182
linkedintoweb.com,TOXIC,High,PBN IP cluster 64.182
localbizbureau.com,TOXIC,High,PBN cluster; Swedish geo
morelinks.org,TOXIC,High,Link scheme name; PBN
plrdownloadshub.com,TOXIC,High,PLR downloads spam
quotesblom.com,TOXIC,Med,Random brand; single-day; low authority
seoranks.co,TOXIC,High,SEO rank scheme name; PBN
sporstcenter.com,TOXIC,High,Typosquat sportscenter; PBN IP
topmillionsites.net,TOXIC,High,PBN IP cluster 64.182
webadore.net,TOXIC,High,PBN IP cluster 69.13
webpulso.net,TOXIC,High,PBN IP cluster 64.182
yellowpagelistingz.com,TOXIC,High,Listing spam; PBN cluster
unanswered.io,MONITOR,Low,Real content guides site
adamsdirectory.com,TOXIC,High,Directory spam; PBN cluster
joeant.biz,TOXIC,High,PBN IP cluster 64.182
webmash.org,TOXIC,High,PBN IP cluster 64.182
global-ranks.pages.dev,TOXIC,High,Throwaway pages.dev; rank scheme
way2check.cv,TOXIC,High,Spam TLD; high IP-shared farm
bestwebstats.com,TOXIC,High,High IP-shared farm; Singapore
indexaward.com,TOXIC,High,High IP-shared farm; Singapore
ycm.info,TOXIC,High,High IP-shared farm; Singapore
blogsphere.top,TOXIC,High,Spam TLD; IP farm; Moldova
optimizeflow.top,TOXIC,High,Spam TLD; IP farm; Moldova
a2zseoarticles.com,TOXIC,High,SEO article scheme; large IP farm
