domain,final_verdict,confidence,note
linkcenter.com,KEEP,Med,Established web directory since 1996 with garden category
olivare.com.ar,MONITOR,Low,Foreign but plausibly real business no spam signal
websitescrawl.com,TOXIC,Med,SEO crawler-style tool name no value
southernlanka.lk,TOXIC,Med,Foreign Sri Lanka site irrelevant to client
divisionesmodularesjq.com,TOXIC,Med,Spanish modular-furniture irrelevant foreign site
localinsidernetwork.com,TOXIC,High,PBN IP cluster generic network name
findingfarina.com,MONITOR,Med,Genuine personal home/finance blog low relevance
seodirectorysite.com,TOXIC,High,SEO directory spam name
greattraveladvisor.com,TOXIC,Med,Generic travel content site no relevance
weedspots.net,KEEP,Med,Real lawn-care services directory on-topic
seomuda.id,TOXIC,High,SEO link-scheme foreign site
littlerocklawnlandscaping.com,KEEP,Med,Real Little Rock lawn/landscape company on-topic
a2zdirectory.us,TOXIC,High,Directory spam PBN cluster
allbusinessadvisor.com,TOXIC,High,PBN IP cluster 69.13
articles-place.com,TOXIC,High,Article spam foreign PBN cluster
authoritylistings.com,TOXIC,High,Directory spam PBN cluster
bizcopia.org,TOXIC,High,PBN IP cluster 64.182
bookmarkhaven.com,TOXIC,High,Bookmark spam PBN cluster
businesslistingsfinder.com,TOXIC,High,Directory spam foreign PBN cluster
companyclassified.com,TOXIC,High,Foreign PBN cluster directory spam
demandbusinesses.com,TOXIC,High,PBN IP cluster 69.13
directorycentered.com,TOXIC,High,Directory spam PBN cluster
directoryplus.biz,TOXIC,High,Directory spam PBN cluster
directorystudio.org,TOXIC,High,Directory spam PBN cluster
egyptiandirectory.com,TOXIC,High,Directory spam PBN cluster
expressbusinesslistings.com,TOXIC,High,Directory spam foreign PBN cluster
findbiz.info,TOXIC,Med,Generic directory name low authority
forever-biz.com,TOXIC,High,PBN IP cluster 69.13
getzzby.com,TOXIC,High,PBN cluster nonsense name
good-essays.com,TOXIC,High,Essay-writing spam vertical
holabiz.com,TOXIC,High,PBN IP cluster 64.182
infodirectorynow.com,TOXIC,High,Directory spam name
listglobe.com,TOXIC,Med,Foreign listing directory low authority
listingshub.net,TOXIC,High,Directory spam PBN cluster
listyoursite.net,TOXIC,High,Submit-site spam PBN cluster
localbusinessguide.org,TOXIC,High,PBN cluster directory
localstudio.info,TOXIC,High,PBN cluster generic name
markd.biz,TOXIC,High,PBN IP cluster 64.182
mysuperlistings.com,TOXIC,High,Directory spam PBN cluster
onlinebeacon.co,TOXIC,High,PBN IP cluster 64.182
oohandaah.org,TOXIC,High,PBN cluster nonsense name
powerlistings.info,TOXIC,High,Directory spam PBN cluster
rankvancelinks.info,TOXIC,High,SEO link-scheme name
royaldb.us.com,TOXIC,Med,Throwaway us.com host brand-new single-day
seeklocally.net,TOXIC,High,Foreign PBN cluster directory
showyourbizz.com,TOXIC,High,PBN cluster nonsense name
smallbusinesseslist.com,TOXIC,High,Directory spam PBN cluster
spectacularsites.co,TOXIC,High,PBN IP cluster 64.182
starlisting.org,TOXIC,High,Directory spam PBN cluster
submitweb.us,TOXIC,High,Submit-site spam PBN cluster
thedirsearch.com,TOXIC,High,Directory spam foreign PBN cluster
thetoptierlistings.com,TOXIC,High,Directory spam PBN cluster
toplistingz.com,TOXIC,High,Directory spam PBN cluster
tygo.biz,TOXIC,High,PBN IP cluster 64.182
vipsites.org,TOXIC,High,PBN IP cluster 64.182
weblookup.org,TOXIC,High,PBN IP cluster 64.182
yeahdirectory.org,TOXIC,High,Directory spam PBN cluster
solace-moon.online,TOXIC,High,Random name spam .online TLD
locallistingz.net,TOXIC,High,Directory spam PBN cluster
businessnotations.com,TOXIC,High,Foreign PBN cluster 94.46
marktd.net,TOXIC,High,PBN IP cluster 69.13
factmags.com,TOXIC,Med,Generic foreign article mill irrelevant
hotonlinegaming.com,TOXIC,High,Online gambling vertical
a1weblisting.com,TOXIC,High,Directory spam PBN cluster
articlecity.info,TOXIC,High,Article spam foreign PBN cluster
assignlinx.com,TOXIC,High,PBN cluster link-scheme name
bestbusinesseslist.com,TOXIC,High,Directory spam PBN cluster
biglocal247.com,TOXIC,High,PBN IP cluster 69.13
bizoftheyear.org,TOXIC,High,PBN IP cluster 64.182
breathingsocial.com,TOXIC,High,PBN IP cluster 64.182
businesshonors.org,TOXIC,High,PBN IP cluster 64.182
casinooftheking.com,TOXIC,High,Casino gambling vertical
customerfriendlysites.com,TOXIC,High,PBN IP cluster 69.13
directorist.net,TOXIC,High,Directory spam PBN cluster
directoryjournal.co,TOXIC,High,Directory spam PBN cluster
domow.org,TOXIC,High,PBN IP cluster 64.182
elistyourbusiness.com,TOXIC,High,Submit-listing spam PBN cluster
findelio.org,TOXIC,High,PBN cluster nonsense name
globleweblist.com,TOXIC,High,Directory spam foreign PBN cluster
greatestwebsites.co.uk,TOXIC,High,PBN IP cluster 64.182
hitz.co,TOXIC,High,PBN IP cluster 69.13
hubbizcenter.com,TOXIC,High,PBN IP cluster 64.182
iconbusinesses.com,TOXIC,High,PBN IP cluster 69.13
israelmilitaria.blogspot.com,TOXIC,Med,Irrelevant militaria blogspot spam links
linkcentre.co,TOXIC,High,PBN cluster link-directory clone
listingdirectori.org,TOXIC,High,Directory spam PBN cluster
local-leadz.com,TOXIC,High,Foreign PBN cluster lead-gen name
localseek.org,TOXIC,High,Foreign PBN cluster directory
mybestsites.net,TOXIC,High,PBN IP cluster 64.182
one-company-center.com,TOXIC,High,PBN IP cluster 69.13
permanentlisting.net,TOXIC,High,Directory spam PBN cluster
poshcoloringstudiostorer.blogspot.com,TOXIC,High,Spam blogspot nonsense name
promotionzdirectori.com,TOXIC,High,Directory spam PBN cluster
roidirectory.org,TOXIC,High,Directory spam PBN cluster
seekurls.org,TOXIC,High,PBN cluster link-scheme name
smallbizlistings.com,TOXIC,High,Directory spam PBN cluster
sublimedirectori.net,TOXIC,High,Directory spam PBN cluster
supermoz.org,TOXIC,High,PBN IP cluster 69.13
thebetterbusinesslistings.com,TOXIC,High,Directory spam PBN cluster
thelocalfalcon.com,TOXIC,Med,PBN cluster clone of Local Falcon
topeasylocal.com,TOXIC,High,Foreign PBN cluster directory
trustedonlinebiz.com,TOXIC,High,Foreign PBN cluster
veryimportantsites.com,TOXIC,High,PBN IP cluster 64.182
webdirectoree.com,TOXIC,High,Directory spam PBN cluster
websolute.org,TOXIC,High,PBN IP cluster 64.182
wikilyst.com,TOXIC,High,Foreign PBN cluster
yellowmarketplaces.com,TOXIC,High,PBN IP cluster 64.182
yourpremium.org,TOXIC,High,PBN IP cluster 64.182
zoombizz.net,TOXIC,High,Foreign PBN cluster
likesite.org,TOXIC,High,PBN IP cluster 64.182
multiranks.com,TOXIC,High,SEO rank link-scheme name
addlocal.co.uk,TOXIC,High,PBN IP cluster 64.182
b-listings.com,TOXIC,High,Directory spam PBN cluster
bizscopedirectory.com,TOXIC,High,Directory spam PBN cluster
